id,ticket_text,true_category,predicted_category,reasoning,correct,otel_run_name,otel_prompt_version,validator_comment,failure_category
t000,"Hi, I ordered a blender 5 days ago and the tracking page hasn't updated. Can you tell me where it is?",order_status,order_status,The customer is inquiring about the status and tracking of their order.,True,baseline,v1,,
t001,"Hello, I placed an order for a blender five days ago, and I'm quite frustrated because the tracking information hasn't changed at all. Can you please provide me with an update on its whereabouts?",order_status,order_status,The customer is inquiring about the status and tracking of their order.,True,baseline,v1,,
t002,"Dear Support Team, I hope you're well. I ordered a blender recently, and it's been five days without any updates on the tracking page. Could you assist me in locating my order?",order_status,order_status,The customer is inquiring about the status and tracking of their order.,True,baseline,v1,,
t003,"Hey there, I ordered a blender a week back and the tracking page still shows nothing new. Any chance you could update me on its status?",order_status,order_status,The customer is inquiring about the status of their order and tracking information.,True,baseline,v1,,
t004,I never received my order and I want my money back.,order_status,refund_request,The customer is requesting a refund because they did not receive their order.,False,baseline,v1,,
t005,"I still haven't gotten my order, and I'm really frustrated. I need a refund immediately.",order_status,refund_request,The customer is requesting a refund due to not receiving their order.,False,baseline,v1,,
t006,"Hello, I seem to be missing my shipment and would appreciate a prompt refund for my order.",order_status,refund_request,The customer is requesting a refund due to a missing shipment.,False,baseline,v1,,
t007,"This is ridiculous! My order never arrived, and I demand a full refund right now.",order_status,refund_request,The customer is requesting a full refund due to their order not arriving.,False,baseline,v1,,
t008,"Order shows delivered last Tuesday but it's not at my door, my neighbor's, or the mailroom. What now?",order_status,order_status,The customer is inquiring about the status of their order and its delivery.,True,baseline,v1,,
t009,"I checked my order status, and it says it was delivered last Tuesday, but I can’t find it at my house, my neighbor’s place, or even in the mailroom. What should I do next?",order_status,order_status,The customer is inquiring about the status of their order and its delivery.,True,baseline,v1,,
t010,"My order (number 98765) was marked delivered last Tuesday, but I haven't received it. It's not with my neighbors or in the mailroom. Can you please help me resolve this?",order_status,order_status,The customer is inquiring about the status of their order and its delivery.,True,baseline,v1,,
t011,"So my package says it was delivered last Tuesday, but it's as if it vanished! It's definitely not at my door, my neighbor’s, or even in the mailroom. What's the next step here?",order_status,order_status,The customer is inquiring about the status of their package that was marked as delivered but is missing.,True,baseline,v1,,
t012,The website said 2-day shipping. It's been 9 days. Are you kidding me?,order_status,order_status,The customer is inquiring about the delay in their order delivery.,True,baseline,v1,,
t013,I can't believe it's been 9 days when your site promised 2-day shipping. What's going on?,order_status,order_status,The customer is inquiring about the status of their order and the shipping delay.,True,baseline,v1,,
t014,"I'm really disappointed. Your website advertised 2-day shipping, and here I am waiting for 9 days. This is unacceptable!",order_status,order_status,The customer is inquiring about the delay in their order delivery.,True,baseline,v1,,
t015,"Seriously? I was promised my order would arrive in 2 days, but it's now been 9 days. What gives?",order_status,order_status,The customer is inquiring about the delay in their order delivery.,True,baseline,v1,,
t016,Tracking link in the email just spins forever. Order #88421.,order_status,order_status,The customer is inquiring about the tracking link for their order.,True,baseline,v1,,
t017,"I've been trying to use the tracking link from my email for Order #88421, but it just keeps loading endlessly. It's quite frustrating!",order_status,order_status,The customer is inquiring about the tracking link for their order.,True,baseline,v1,,
t018,"I would really appreciate it if someone could look into the tracking link for my order, #88421. It's not working—it just spins and spins without any results.",order_status,order_status,The customer is inquiring about the tracking link for their order.,True,baseline,v1,,
t019,Can someone please help? The tracking link in my email for order #88421 doesn’t seem to work at all; it just keeps spinning without showing any information.,order_status,order_status,The customer is inquiring about the tracking link for their order.,True,baseline,v1,,
t020,I'd like to return the headphones I bought last week and get my money back. They're unopened.,refund_request,refund_request,The customer wants to return an item and get their money back.,True,baseline,v1,,
t021,"I'm really disappointed with my recent order. The headphones I purchased last week are still unopened, and I'd like to request a refund for them.",refund_request,refund_request,The customer wants to request a refund for their unopened headphones.,True,baseline,v1,,
t022,Could you please assist me with returning the unopened headphones I ordered last week? I would appreciate a full refund.,refund_request,refund_request,The customer is requesting a return and a full refund for their order.,True,baseline,v1,,
t023,I want to send back the unopened headphones I got last week and get my money returned. This is rather frustrating.,refund_request,refund_request,The customer wants to return an item and get their money back.,True,baseline,v1,,
t024,Where is my refund? I returned the item two weeks ago and still nothing on my card.,refund_request,refund_request,The customer is inquiring about the status of their refund.,True,baseline,v1,,
t025,I've been waiting for my refund for two weeks after returning my item and there's still no sign of it on my card. Can you please check what’s going on?,refund_request,refund_request,The customer is inquiring about the status of their refund.,True,baseline,v1,,
t026,"Excuse me, but it's been two whole weeks since I sent back my order, and I have yet to see the refund reflected on my card. What’s taking so long?",refund_request,refund_request,The customer is inquiring about the status of their refund.,True,baseline,v1,,
t027,"I returned my item a fortnight ago, and I'm still without my refund on my card. What's the hold-up?",refund_request,refund_request,The customer is inquiring about the status of their refund for a returned item.,True,baseline,v1,,
t028,Please cancel order 99021 and refund my card. I no longer need it.,refund_request,refund_request,The customer is requesting a refund for their order.,True,baseline,v1,,
t029,I need to cancel order number 99021 and request a refund to my card. I simply don't want it anymore.,refund_request,refund_request,The customer is requesting a refund for their order.,True,baseline,v1,,
t030,"Could you please cancel my order, 99021? I would appreciate a refund to my card since I don't need it now.",refund_request,refund_request,The customer is requesting to cancel their order and asking for a refund.,True,baseline,v1,,
t031,Please go ahead and cancel my order 99021. I’d like a refund to my card since I don’t want the item anymore.,refund_request,refund_request,The customer is requesting a refund for their order.,True,baseline,v1,,
t032,I was charged $89 but the website showed $79 at checkout. Please refund the difference.,refund_request,refund_request,The customer is requesting a refund for the difference in price charged.,True,baseline,v1,,
t033,I don't understand why I was billed $89 when the checkout clearly stated $79. I expect you to refund the overcharge immediately.,refund_request,refund_request,The customer is requesting a refund due to an overcharge on their bill.,True,baseline,v1,,
